fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
169222,"Yardlong bean, raw",Vegetables and Vegetable Products,SR Legacy,47.0,2.8,8.35,0.4,0.0,0.0,4.0,50.0,0.47
169793,"Bear, black, meat (Alaska Native)",American Indian/Alaska Native Foods,SR Legacy,649.0,20.1,0.0,8.3,0.0,0.0,0.0,0.0,7.2
174188,"Fish, caviar, black and red, granular",Finfish and Shellfish Products,SR Legacy,1100.0,24.6,4.0,17.9,0.0,0.0,1500.0,275.0,11.9
173780,SILK Black Cherry soy yogurt,Legumes and Legume Products,SR Legacy,368.0,2.35,17.1,1.18,0.6,0.0,12.0,176.0,0.64
175184,"Beans, baked, canned, with franks",Legumes and Legume Products,SR Legacy,142.0,6.75,15.4,6.57,6.9,0.0,430.0,48.0,1.73
175185,"Beans, baked, canned, with pork",Legumes and Legume Products,SR Legacy,443.0,5.19,20.0,1.55,5.5,0.0,414.0,53.0,1.7
173731,"Beans, baked, home prepared",Legumes and Legume Products,SR Legacy,649.0,5.54,21.6,5.15,5.5,0.0,422.0,61.0,1.99
168574,"Beans, fava, in pod, raw",Vegetables and Vegetable Products,SR Legacy,368.0,7.92,17.6,0.73,7.5,0.0,25.0,37.0,1.55
169965,"Beans, snap, green, microwaved",Vegetables and Vegetable Products,SR Legacy,33.0,2.31,6.41,0.5,3.4,0.0,3.0,55.0,0.83
169961,"Beans, snap, green, raw",Vegetables and Vegetable Products,SR Legacy,131.0,1.83,6.97,0.22,2.7,0.0,6.0,37.0,1.03
169320,"Beans, snap, yellow, raw",Vegetables and Vegetable Products,SR Legacy,129.0,1.82,7.13,0.12,3.4,0.0,6.0,37.0,1.04
173336,"Burrito, bean and cheese, frozen","Meals, Entrees, and Side Dishes",SR Legacy,925.0,7.07,34.0,6.3,3.4,0.0,351.0,52.0,2.51
172110,"Chili with beans, microwavable bowls","Meals, Entrees, and Side Dishes",SR Legacy,419.0,5.85,10.9,3.68,2.9,0.0,385.0,34.0,1.13
172098,"Chili, no beans, canned entree","Meals, Entrees, and Side Dishes",SR Legacy,495.0,7.53,6.1,7.1,0.5,0.0,411.0,30.0,2.01
171832,"Dip, bean, original flavor","Soups, Sauces, and Gravies",SR Legacy,496.0,5.44,15.9,3.7,4.9,0.0,443.0,26.0,1.6
